序号,名称,播放,弹幕数,收藏,硬币,是否完结,评分(默认0分),评分人数(人数不足为0人)
628,Q弟侦探因幡,1586142,160589,51870,3580,1,9.7,237
631,学生会的一己之见,2500774,268536,126753,4674,1,9.5,653
632,学生会的一己之见 Lv.2,1466866,91066,67955,2290,1,9.1,257
637,GJ部,2347343,212296,132984,5031,1,9.5,516
638,失忆症,1803068,193796,95836,2498,1,9.0,162
639,闪乱神乐,955901,96165,26537,835,1,0.0,0
642,直白标题机器人动画,145787,3601,5691,113,1,0.0,0
643,AKB0048 第一季,1367786,38507,87472,1022,1,9.4,116
644,AKB0048 第二季,1132770,22905,40901,949,1,0.0,0
645,我的妹妹是大阪大妈,1097509,38395,11735,254,1,0.0,0
646,漫画少女,561100,34672,4896,188,1,0.0,0
650,石田和朝仓,1193913,14827,8425,205,1,0.0,0
656,初音岛,1277503,160742,66467,1418,1,9.3,139
657,初音岛 S.S.,425676,35429,43708,684,1,0.0,0
658,初音岛II,83601,38256,7833,65,1,0.0,0
659,初音岛III,1706677,64252,70462,1285,1,8.7,106
660,十万个冷笑话 第一季,22389633,246697,667373,21259,1,8.7,229
661,十万个冷笑话 第二季,29992541,194363,517011,16823,1,8.4,161
662,尸兄,21059642,204392,620305,5920,1,8.5,160
663,山海师,1095015,100248,34573,8869,0,9.6,520
664,神魄,496831,32422,74062,738,1,9.4,145
665,馒头日记,1769267,106169,55094,10812,1,9.7,512
666,撸时代,5392969,96956,122971,7481,1,9.1,212
667,死灵编码,2141308,71399,70393,1966,1,9.0,134
676,鸭子的生活,1332234,31479,21197,1611,1,9.6,126
678,宫河家的空腹,649992,27917,11223,543,1,9.0,151
679,笨蛋的悲剧人生,149891,6087,2799,123,1,0.0,0
682,独眼巨人少女斋枫,1296556,32306,8735,345,1,0.0,0
683,平成警察,265019,2260,4754,103,1,0.0,0
684,地狱幼稚园,154301,6859,1877,47,1,0.0,0
685,K,7326410,930750,471575,12389,1,9.0,1328
686,加速世界,6731865,546421,554166,14295,1,8.6,1007
687,樱花庄的宠物女孩,38126826,1186201,2157023,103742,1,9.5,4636
688,邻座的怪同学,15443607,590788,779567,17149,1,9.5,1306
695,创圣的大天使,566235,82626,14824,435,1,0.0,0
696,创圣的大天使EVOL,1619940,48074,170982,1203,1,0.0,0
697,这个是僵尸吗？,15351978,646993,608334,23979,1,9.3,1124
698,这个是僵尸吗？OF THE DEAD,10563290,245121,481906,14442,1,9.4,621
703,人类衰退之后,1800479,151877,105270,4670,1,9.6,722
708,爱杀宝贝 中文版,314861,20058,4427,129,1,0.0,0
709,爱杀宝贝 日语版,5153588,208405,250383,6412,1,9.6,651
710,散华礼弥,11274976,529121,617582,12199,1,9.2,1407
713,恋爱随意链接,5688753,293387,344583,10220,1,9.5,1395
714,要听爸爸的话！,9372243,356941,536669,14587,1,9.6,1046
717,迷之彼女X,161012,38523,18389,397,1,9.5,264
718,就算是哥哥有爱就没问题了对吧,20686898,814129,912497,20816,1,8.5,796
722,三人行必有我妹,7990651,414847,379449,6158,1,7.9,273
723,猫物语（黑）,2284980,231901,67024,2877,1,9.6,520
727,食梦者,3316858,199652,219425,5840,1,9.7,1153
728,食梦者。2,2155611,50005,128317,3065,1,9.6,374
729,食梦者。3,2561112,51199,148938,11574,1,9.7,626
731,向阳素描,192630,29709,12139,345,1,0.0,0
732,向阳素描×365,112929,8899,10624,232,1,0.0,0
733,向阳素描×☆☆☆,89855,7738,9924,199,1,0.0,0
734,向阳素描×蜂窝,244205,9692,21288,732,1,0.0,0
735,只要你说你爱我,4893965,245346,306017,2503,1,8.6,222
739,CØDE:BREAKER 法外制裁者,1244278,102971,66281,645,1,6.9,134
740,武装神姬 Moon Angel,213074,16064,2251,65,1,0.0,0
741,武装神姬,1323639,90010,57731,770,1,0.0,0
742,绯色的欠片 第一季,637083,45264,28206,171,1,0.0,0
743,绯色的欠片 第二季,335789,17646,11390,90,1,0.0,0
744,超速变形GYRO ZETTER,413024,5337,13132,136,1,0.0,0
748,兽旋战斗MONSUNO,49228,2893,391,4,1,0.0,0
750,CROSS FIGHT 弹珠人,262748,4551,3672,54,1,0.0,0
751,激战！弹珠人 第二季,57381,1646,263,12,1,0.0,0
752,TARI TARI,2133132,187671,174495,4943,1,9.4,536
757,女子落语,1821359,70280,135545,2471,1,9.3,202
759,恋爱与选举与巧克力,5180666,291784,238462,4099,1,9.0,326
760,夏雪密会,829003,74772,56750,1088,1,9.4,162
761,薄樱鬼,1731040,210218,115165,1767,1,9.2,150
762,薄樱鬼 碧血录,0,60700,0,0,1,0.0,0
763,薄樱鬼 黎明录,597724,51138,49787,275,1,0.0,0
764,薄樱鬼 雪华录,363031,40494,18639,242,1,0.0,0
765,薄樱鬼 番外,109840,37881,1527,53,1,0.0,0
767,魔力家族,1035132,96443,45404,450,1,0.0,0
774,公立海老栖川高校天闷部,1091272,65106,79133,435,1,0.0,0
775,希望宅邸3D 第一季,392714,13999,3711,132,1,0.0,0
776,希望宅邸3D  第二季,191870,4441,2603,100,1,0.0,0
779,Fate/Zero 第二季,9149547,704349,763702,9585,1,9.3,2944
780,坂道上的阿波罗,150593,86875,13190,498,1,9.5,246
781,钓球,707865,47877,82125,743,1,0.0,0
782,一起一起这里那里,4144374,307834,295392,7096,1,9.7,1152
783,黄昏少女×失忆,2985051,186974,163018,6787,1,9.7,909
787,夏色奇迹,640996,67779,59035,781,1,9.3,122
790,交响诗篇 第一季,384990,57178,19769,908,1,9.7,358
791,交响诗篇 AO,938694,19057,59893,1130,1,0.0,0
792,ZETMAN 超魔人,923233,36499,39685,283,1,0.0,0
793,枪械少女,860814,32632,73657,400,1,0.0,0
795,战国Collection ,424462,23166,31916,598,1,0.0,0
796,翡翠森林狼与羊秘密的朋友,167479,7731,19784,249,1,0.0,0
797,光明之心 ～幸福的面包～,485153,30762,40689,283,1,0.0,0
798,柴犬子,280347,10128,4419,36,1,0.0,0
800,圣斗士星矢 THE LOST CANVAS 冥王神话,873334,74607,34401,1171,1,9.6,381
804,金属对决 战斗陀螺 ZERO G,67315,1804,712,20,1,0.0,0
808,MINUSCULE ～小昆虫的故事～,191451,9938,26105,356,1,0.0,0
809,妖狐×仆SS,5149364,691237,316519,8912,1,9.4,844
814,在盛夏等待,2812041,219658,193187,3788,1,9.1,257
815,圣诞之吻SS,4079159,263991,377897,6605,1,9.6,654
816,圣诞之吻SS+ plus,1482434,76546,123169,2424,1,9.5,237
817,暴力宇宙海贼,1131825,17695,73615,3916,1,0.0,0
