序号,名称,播放,弹幕数,收藏,硬币,评分(默认0分),评分人数(人数不足为0人),是否完结
1750,马达加斯加的企鹅 第二季,515777,11198,297,15783,0.0,0,1
1751,究极KERORO 奇迹的时空岛,39516,1645,29,5780,0.0,0,1
1757,很帅很可爱宣言,163840,2171,74,9188,0.0,0,1
1759,文学少女,0,0,0,71649,9.0,108,1
1763,玻璃假面,157534,15333,309,9802,0.0,0,1
1764,虽然是玻璃假面 2013版,197244,3634,87,1778,0.0,0,1
1765,机巧魔神,616743,21760,725,48355,0.0,0,1
1767,重金属摇滚双面人,196167,10733,219,8607,0.0,0,1
1768,魔角侦探 第一季,852944,135804,2299,93618,9.5,318,1
1773,寒蝉鸣泣之时 解,2714336,342232,4611,131496,9.6,879,1
1776,斗牌传说,508778,18652,352,15573,0.0,0,1
1777,IGPX,25820,236,4,1782,0.0,0,1
1778,CANVAS2 七彩的素描,208438,12988,206,33280,0.0,0,1
1779,银盘万花筒,159411,3824,152,25612,0.0,0,1
1781,极速方程式,106384,4443,98,3672,0.0,0,1
1782,到另一个你的身边去,137443,5573,188,25756,0.0,0,1
1786,柔和三国志冲刺!!吕布子,79691,2601,46,5716,0.0,0,1
1789,CANDY BOY,633953,24292,1619,45751,9.7,246,1
1792,再见绝望先生,1067775,43485,1614,151490,9.6,368,1
1793,俗・再见绝望先生,467841,25893,739,37157,9.6,166,1
1794,忏・再见绝望先生,360324,21307,693,33856,9.6,165,1
1796,太昊伏羲,42169,1302,39,3143,0.0,0,1
1797,超蛙战士,88558,1934,49,5851,0.0,0,1
1798,抗日英雄杨来西,94706,11332,105,1035,0.0,0,1
1800,蓝猫龙骑团 希望家园,52471,830,21,2341,0.0,0,1
1801,蓝猫龙骑团 TV,188477,23216,169,9825,0.0,0,1
1802,后羿射日,33579,1457,15,397,0.0,0,1
1803,拯救侏罗纪,12749,793,7,923,0.0,0,1
1804,蔬果王国历险记,12859,258,5,341,0.0,0,1
1806,太空堡垒 第二季,45737,268,9,1699,0.0,0,1
1807,太空堡垒 第三季,58451,352,9,1841,0.0,0,1
1811,地上最强新娘,574925,29596,602,46722,0.0,0,1
1813,牙-KIBA,102233,4885,76,11028,0.0,0,1
1816,AIR,2421518,133248,5295,390742,9.5,948,1
1817,蓝猫淘气3000问 幽默舞台,212670,17713,408,14022,0.0,0,1
1818,蓝猫淘气3000问 恐龙时代,191698,20604,353,7277,0.0,0,1
1820,蓝猫淘气3000问 海洋世界,42153,1667,99,3418,0.0,0,1
1821,蓝猫淘气3000问 运动系列,30135,1331,29,3598,0.0,0,1
1822,蓝猫淘气3000问 太空历险,111942,14564,263,5532,0.0,0,1
1823,勇者王GAOGAIGAR,265560,14832,225,9772,0.0,0,1
1829,魔豆传奇,335469,34959,507,26202,9.5,113,1
1830,变形金刚 银河之力,166984,6341,56,4841,0.0,0,1
1832,帕塔利洛西游记,196881,14976,185,10659,0.0,0,1
1833,新释·真田十勇士,26138,387,9,3052,0.0,0,1
1835,魔兵传奇,870331,78114,1121,37057,9.7,238,1
1836,武器种族传说,757554,30731,1131,93779,9.4,146,1
1837,机兽起源,208014,8168,122,9786,0.0,0,1
1839,LOVELESS,701044,50803,734,147354,0.0,0,1
1840,我的主人爱作怪,618717,15851,620,71296,0.0,0,1
1841,机动新撰组 萌之剑,35704,226,21,5720,0.0,0,1
1842,麟光之翼,33658,629,11,2924,0.0,0,1
1843,凉风,127888,12420,317,45388,0.0,0,1
1844,不可思议的教室,407457,18241,539,42438,0.0,0,1
1845,快乐七人组,23634,637,10,3940,0.0,0,1
1846,波子汽水,126522,1316,58,30490,0.0,0,1
1847,增血鬼果林,117828,9379,126,10805,0.0,0,1
1848,曙光少女,33516,806,20,5325,0.0,0,1
1849,出云战记,104545,1758,36,16029,0.0,0,1
1850,天使心,52000,2887,110,7932,0.0,0,1
1851,王牌鉴定人,61242,529,39,9374,0.0,0,1
1852,人机续篇,47608,1850,29,10082,0.0,0,1
1853,星舰驾驶员,55358,2203,62,8488,0.0,0,1
1854,异度传说,110310,1604,47,16606,0.0,0,1
1855,甲贺忍法帖,1045937,42430,1308,67679,9.6,395,1
1856,草莓棉花糖,658720,40196,1256,69202,9.5,216,1
1857,鸦KARAS,677933,21418,1769,84518,9.7,295,1
1858,神是中学生,143832,15248,317,20743,0.0,0,1
1859,极上学生会,86272,8097,106,10190,0.0,0,1
1860,老婆是魔法少女,85551,1135,72,23457,0.0,0,1
1861,UG☆极限女孩,55660,2183,40,9918,0.0,0,1
1862,枪心剑刃,176715,9054,139,17002,0.0,0,1
1863,草莓100%,428084,20369,363,45555,0.0,0,1
1864,心动的日子,18428,2235,47,29801,0.0,0,1
1867,苍穹之法芙娜,509009,30319,442,45672,9.4,152,1
1868,微笑的闪士,190362,6371,144,12254,0.0,0,1
1869,混沌武士,1777991,103634,4649,149502,9.7,1334,1
1872,神无月的巫女,155702,18137,324,130798,9.5,351,1
1873,库拉乌幻之记忆,112132,5494,204,17039,0.0,0,1
1874,诗∽片,72753,1145,32,18100,0.0,0,1
1875,人鱼的旋律,455855,26425,220,45488,0.0,0,1
1876,人鱼的旋律Pure,199665,10168,78,16474,0.0,0,1
1878,吟游默示录,179287,9853,90,45029,0.0,0,1
1879,吟游默示录 wieder,54167,2530,19,13015,0.0,0,1
1880,公主时间,245749,4189,129,40296,0.0,0,1
1881,拳王创世纪1 日美决战篇,15742,89,5,1274,0.0,0,1
1882,遥远时空中 八叶抄,219700,13637,196,38587,0.0,0,1
1883,遥远时空中 紫阳花物语,37258,575,8,6828,0.0,0,1
1884,遥远时空中 舞一夜,36909,994,88,9649,0.0,0,1
1886,砂和尚,100268,4918,125,10313,0.0,0,1
1887,日式面包王,1432404,92424,1447,40152,0.0,0,1
1888,次元舰队,323758,23476,312,11466,0.0,0,1
1889,奇幻旅程,28801,2127,53,6453,0.0,0,1
1890,岩窟王,228811,26996,268,23054,0.0,0,1
1891,风-心之呼吸-,87820,2225,44,8909,0.0,0,1
1892,女生万岁 first season,209302,4659,95,36690,0.0,0,1
1894,DEARS 亲爱一族,221464,6021,199,25345,0.0,0,1
1895,御伽草子,105387,7238,124,18813,0.0,0,1
1896,仙境传说,172741,10690,84,15408,0.0,0,1
1899,老师的时间,40912,4611,66,2357,0.0,0,1
1900,忘却的旋律,74060,1692,48,12218,0.0,0,1
1901,恋风,274592,21803,536,27171,0.0,0,1
1902,玛德莱克丝,153990,14615,272,20448,0.0,0,1
1903,火鸟,129876,9031,137,11174,0.0,0,1
1904,陆奥圆明流外传 修罗之刻,67912,4725,93,3746,0.0,0,1
1905,爱你宝贝,161502,9759,283,13560,0.0,0,1
1907,苏生龙王传说,162550,21612,241,5933,0.0,0,1
1908,七武士,145747,7276,138,14241,0.0,0,1
1909,MONSTER,2381836,190023,3258,114456,9.7,419,1
1910,怪医黑杰克 前作,1059608,140126,1452,45838,9.6,174,1
1912,向北,42741,603,32,11750,0.0,0,1
1913,极道鲜师,119025,4301,146,9813,0.0,0,1
1914,战区88,40553,2186,32,4579,0.0,0,1
1916,光与水的女神,68689,1835,53,9804,0.0,0,1
1917,妄想代理人,683301,37540,1156,103678,9.5,283,1
1920,月咏-MOON PHASE-,166015,12738,202,18104,0.0,0,1
1921,爱丽丝学园,774578,58202,930,68793,9.6,177,1
1922,舞-HIME,61303,3892,155,24225,9.2,113,1
1923,天上天下,503814,12963,489,45857,0.0,0,1
1924,BECK,216562,21358,346,15218,0.0,0,1
1925,爱情泡泡糖,351782,11205,307,46908,0.0,0,1
1926,绚烂舞踏祭,20531,119,34,6949,0.0,0,1
1927,落叶,62962,1617,297,15859,0.0,0,1
1928,小魔女蒙娜,220739,8086,359,36145,9.7,108,1
1929,阴阳大战记,138228,9484,94,9995,0.0,0,1
1933,交涉人勇午,59028,1459,80,13049,0.0,0,1
1934,风人物语,69556,3617,156,20972,0.0,0,1
1936,酷伊忍者传,27510,2178,33,4492,0.0,0,1
1937,双恋,293038,17626,261,42961,0.0,0,1
1938,双恋 Alternative,133538,9029,293,14877,0.0,0,1
1940,To Heart,84810,4654,92,13868,0.0,0,1
1941,To Heart 回忆永恒,24461,1256,27,3979,0.0,0,1
1942,银河天使,63009,1984,37,9909,0.0,0,1
1943,银河天使Z,16461,978,11,2120,0.0,0,1
1944,银河天使A/AA/S,27680,2607,30,2271,0.0,0,1
1945,银河天使X,19054,1705,20,2641,0.0,0,1
1946,十兵卫 心形眼罩的秘密,57749,4963,69,7181,0.0,0,1
1947,十兵卫2 西伯利亚柳生的反击,69728,5666,78,4646,0.0,0,1
1948,超重神GRAVION,187373,3438,52,10447,0.0,0,1
1949,超重神GRAVION Zwei,105586,2265,29,4847,0.0,0,1
1950,铁人28号,79856,689,22,2432,0.0,0,1
1951,太阳的使者 铁人28号,18150,122,7,1758,0.0,0,1
1952,超电动机器人 铁人28号FX,17972,57,9,705,0.0,0,1
1954,铁人28号 白昼之残月,9092,55,9,613,0.0,0,1
1959,骇客时空  黄昏的腕轮传说,17280,374,27,7269,0.0,0,1
1961,暗与帽子与书之旅人,162567,13094,193,24975,0.0,0,1
1963,新撰组异闻录 铁,560009,39999,689,69868,9.5,105,1
1964,京极夏彦 巷说百物语,367324,11385,373,64882,0.0,0,1
1965,人鱼之森,171703,12659,288,18718,0.0,0,1
1966,战争程序员白濑,86014,4017,78,7738,0.0,0,1
1967,读或死 TV,60737,3138,181,22545,9.3,117,1
1968,读或死 OVA,12336,259,115,7117,0.0,0,1
1970,高桥留美子剧场,50278,3248,89,7388,0.0,0,1
1972,人生交叉点-HUMAN SCRAMBLE-,61502,2357,148,15160,0.0,0,1
1975,四圣兽 ～圣兽降临篇～,70960,3222,28,7695,0.0,0,1
1976,四圣兽 ～几千个昼与夜篇～,68764,2841,21,3889,0.0,0,1
1977,四圣兽 光阴叙事诗天使谭,148219,10381,42,8815,0.0,0,1
1978,成惠的世界,51668,2487,63,9989,0.0,0,1
1979,钢铁守护者,44698,968,30,5793,0.0,0,1
1981,妄想科学美少女,32706,339,11,6481,0.0,0,1
1983,真月谭月姬,717000,36821,1151,91897,7.1,266,1
1985,宇宙星路,49333,2677,102,5110,0.0,0,1
1987,变形金刚：微型传说,84461,5719,45,3612,0.0,0,1
1989,鼠辈怪盗,254660,2953,109,26085,0.0,0,1
1990,高机动幻想～新结行军歌～,85666,2436,69,8801,0.0,0,1
1991,星空防卫队,38925,438,12,6515,0.0,0,1
1992,明日的娜嘉,80977,7613,102,7347,0.0,0,1
1993,神魂合体GODANNAR！！,70387,4032,33,4537,0.0,0,1
1994,铳墓,427287,18035,537,54721,9.3,115,1
1995,百变之星,74261,5140,197,19378,0.0,0,1
1996,星空清理者,399423,25958,816,47483,9.5,234,1
1998,爱的魔法,989393,33694,936,99699,9.0,105,1
2004,夏娃的时间 剧场版,235203,4389,551,44832,9.3,171,1
2005,你所期望的永远,282488,22777,402,29989,0.0,0,1
2006,钟之音学院,159607,766,82,25917,0.0,0,1
2007,变身侦探,33026,543,11,3666,0.0,0,1
2008,瓶诘妖精,83253,4183,167,24167,0.0,0,1
2009,萌娘商社,21511,0,3,10666,0.0,0,1
2012,天使怪盗,412219,27025,483,40746,0.0,0,1
2013,奇诺之旅,913480,35963,1750,151668,9.7,553,1
2014,最终流放,377668,23188,508,59368,9.5,117,1
2018,青出于蓝,491872,26840,689,44237,0.0,0,1
2019,青出于蓝～缘～,145740,764,150,13376,0.0,0,1
2020,返乡战士,69593,4368,60,4156,0.0,0,1
2021,寻找满月,501455,18796,612,46569,0.0,0,1
2024,陆上防卫队,3243,80,9,2309,0.0,0,1
2025,鬼眼狂刀,426718,11961,210,45956,0.0,0,1
2026,驭龙少年,173145,7201,124,10076,0.0,0,1
2027,野狼前锋,93208,1864,39,3220,0.0,0,1
2028,魔女猎人罗宾,170708,9512,140,25964,0.0,0,1
2029,最终兵器彼女,298478,20012,354,30131,0.0,0,1
2030,萩萩公主,209347,18832,291,22411,0.0,0,1
2031,铁胆火车侠 第一季,196588,8386,127,17560,0.0,0,1
2032,铁胆火车侠 第二季,68966,1098,18,4419,0.0,0,1
2033,越狱兔 第1季,984765,27433,1479,50652,0.0,0,1
2034,越狱兔 前传,5645409,10421,2101,63607,9.5,143,1
2035,东京地下城,84295,1112,31,12228,0.0,0,1
2036,骇客时空,56313,1673,102,11750,0.0,0,1
2038,我们这一家 第一期,1978458,72773,1185,31193,0.0,0,1
2039,我们这一家 剧场版,91567,3341,155,8009,0.0,0,1
2040,东京猫猫,742531,65986,486,52432,0.0,0,1
2042,天使的小生意气,194454,19196,315,9754,0.0,0,1
2043,安倍桥魔法☆商店街,52302,2712,93,6752,0.0,0,1
2044,水瓶新世纪,23609,350,9,4676,0.0,0,1
2049,奇钢仙女楼兰,48929,586,15,6013,0.0,0,1
2056,钢铁侦探J,35071,2695,42,5651,0.0,0,1
2057,阿波特战记五九,49827,2684,58,4173,0.0,0,1
2058,钢琴恋曲,12906,239,6,4656,0.0,0,1
2059,天使特警,132556,4640,85,17262,0.0,0,1
2060,天使特警2,0,0,0,4954,0.0,0,1
2061,人形电脑天使心,2440193,270618,6147,241959,9.7,831,1
2062,欢乐课程,250071,5543,188,36832,0.0,0,1
2068,拜托了！老师,248132,11362,346,46001,8.9,107,1
2069,十二国记,986293,57008,2369,96954,9.7,625,1
2070,推理之绊,372407,12862,221,56608,0.0,0,1
2071,盗贼王Jing,72940,2455,69,7878,0.0,0,1
2073,闪灵二人组,155852,9291,246,31784,0.0,0,1
2074,灰羽联盟,189956,8864,319,37284,0.0,0,1
2075,迷糊天使,89703,5318,84,13535,0.0,0,1
2078,炎之蜃气楼,315854,16668,323,81254,0.0,0,1
2079,翼神传说,208724,12629,246,20297,0.0,0,1
2081,真・女神转生 魔力宝贝,153793,6042,107,7280,0.0,0,1
2083,白色猎人 第一季,214738,4624,55,42796,0.0,0,1
2084,白色猎人 第二季,64965,749,12,16644,0.0,0,1
2085,Di Gi Charat,35660,576,36,8653,0.0,0,1
2086,Di Gi Charat Panyo Panyo,13639,371,20,2068,0.0,0,1
2087,DI GI CHARAT Nyo,61808,1948,100,2565,0.0,0,1
2088,战斗陀螺 第一季,227893,14002,169,9678,0.0,0,1
2089,战斗陀螺 第二季,91600,1896,28,2695,0.0,0,1
2090,战斗陀螺 剧场版,29910,339,8,1357,0.0,0,1
2091,热带雨林的爆笑生活,1092235,69071,1445,58981,9.6,212,1
2092,热带雨林的爆笑生活 DELUXE,323432,10783,524,12338,0.0,0,1
2093,热带雨林的爆笑生活 FINAL,229603,8788,349,10996,0.0,0,1
2094,天使的尾巴,107199,4750,99,14071,0.0,0,1
2096,辣妹当家,82868,1890,40,7547,0.0,0,1
2097,七虹香电击大作战,40292,1387,17,4293,0.0,0,1
2098,X战记,159582,11815,379,51724,0.0,0,1
2099,X战记 剧场版,73543,3263,47,10655,0.0,0,1
2100,圣石小子,144168,8595,79,15879,0.0,0,1
2102,星之卡比,210607,17891,155,8810,0.0,0,1
2103,魔法少女猫,31384,382,7,6161,0.0,0,1
2104,青春草莓蛋,101433,7428,254,10097,0.0,0,1
2105,超能奇兵,107296,6163,155,8019,0.0,0,1
2107,狂野禁区,39711,1277,29,2875,0.0,0,1
2111,黑街二人组,490981,39991,876,63995,9.6,122,1
2112,新白雪姬传说,276367,9568,143,36220,0.0,0,1
2119,小小雪精灵,79244,2709,155,4852,0.0,0,1
2120,激斗战车（粤语）,110502,4005,42,2505,0.0,0,1
2125,天使领域,120548,7800,95,15290,0.0,0,1
2128,妹妹公主,1002385,47359,1155,96138,0.0,0,1
2129,妹妹公主 RePure,0,0,0,22028,0.0,0,1
2130,HELLSING,1307625,32047,872,170917,9.4,291,1
2131,HELLSING OVA,3314554,185929,6257,117587,9.7,1219,1
2132,漫画同人会,38256,1223,43,7520,0.0,0,1
2133,漫画同人会 OVA,7056,51,5,1189,0.0,0,1
2134,漫画同人会 Revolution,13732,783,11,2011,0.0,0,1
2136,钢铁天使核桃 第二季,21977,1651,19,2201,0.0,0,1
2137,足球小将 83版,650815,46475,355,18714,0.0,0,1
2139,足球小将 平成版,265891,5714,111,8309,0.0,0,1
2140,巴比伦二世,24366,81,9,2056,0.0,0,1
2141,新巴比伦二世,48308,141,6,4286,0.0,0,1
2142,袖珍女仆小梅,127271,4283,126,16076,0.0,0,1
2144,最游记,1087946,101853,1133,93390,0.0,0,1
2146,最游记 RELOAD GUNLOCK,222415,25143,148,17346,0.0,0,1
2147,最游记外传,288624,20916,436,11667,0.0,0,1
2148,最游记RELOAD 埋葬篇,103070,8150,172,10703,0.0,0,1
2150,幻影死神,68320,1844,21,6879,0.0,0,1
2151,随风飘的月影兰,0,0,0,11856,0.0,0,1
2152,梦幻妖子,56254,2062,44,13503,0.0,0,1
2153,我家也有外星人,103871,2943,127,19766,0.0,0,1
2156,无敌王,22526,132,11,1184,0.0,0,1
2158,人造人间Kikaider,26033,1068,44,2681,0.0,0,1
2159,万有引力,839663,62875,469,57335,0.0,0,1
2160,X战警：进化,200088,7925,94,13537,0.0,0,1
2161,银河冒险战记,217155,6864,193,13059,0.0,0,1
2162,银河冒险战记 the second stage,0,0,0,4315,0.0,0,1
2163,星界的战旗 星界的纹章,102801,6155,186,5600,0.0,0,1
2164,星界的战旗 TV版 星界的战旗I,0,0,0,2381,0.0,0,1
2165,星界的战旗TV版 星界的战旗II,0,0,0,1454,0.0,0,1
2168,沉默的未知,123891,4782,120,33693,0.0,0,1
2169,我为歌狂,850345,127676,3275,44983,9.4,219,1
2170,最后的吸血鬼,266573,5064,371,40675,0.0,0,1
2171,学校怪谈,282363,19615,243,25733,0.0,0,1
2174,南方公园 第三季,1078524,22181,693,77449,9.8,111,1
2175,南方公园 第四季,1136771,42878,1297,31889,0.0,0,1
2176,南方公园 第五季,1205049,50295,1319,32728,0.0,0,1
2177,南方公园 第六季,1045559,40168,1308,27381,0.0,0,1
2179,南方公园 第八季,1033071,69796,1179,26759,0.0,0,1
2180,南方公园 第九季,956217,46676,1146,26095,0.0,0,1
2181,南方公园 第十季,1011418,43025,951,26956,0.0,0,1
2182,南方公园 第十一季,991217,49534,906,25928,0.0,0,1
2184,南方公园 第十三季,1064482,45724,1021,26167,0.0,0,1
2185,南方公园 第十四季,1138202,37521,1202,33146,0.0,0,1
2187,南方公园 第十六季,613946,12752,450,26777,0.0,0,1
2188,南方公园 第十七季,2401406,44817,1144,31346,0.0,0,1
2193,南方公园 第十八季,4988120,47721,4823,66173,9.8,163,1
2194,恐怖宠物店,765225,39955,1305,106427,9.7,336,1
2197,六翼天使之声,17725,547,4,5442,0.0,0,1
2199,傀儡师左近,146451,15798,196,12515,0.0,0,1
2201,格斗小霸王,30256,253,4,1719,0.0,0,1
2202,虫孽,64764,7108,81,7782,0.0,0,1
2204,超级酷乐猫,625480,44838,802,39178,0.0,0,1
2205,迷糊女战士,57441,6414,112,3995,0.0,0,1
2206,此时此刻的我,105620,9521,229,15650,0.0,0,1
2207,地球防卫企业,38503,3905,48,2578,0.0,0,1
2208,无限的未知,224808,13712,281,26955,0.0,0,1
2210,仙界传 封神演义,14279,76,23,14608,0.0,0,1
2211,机兽新世纪ZOIDS,73286,1159,36,2192,0.0,0,1
2212,机兽新世纪ZOIDS,110276,3862,53,5609,0.0,0,1
2213,A.D.特警,8100,35,22,2995,0.0,0,1
2215,快感指令,360601,11875,105,33164,0.0,0,1
2216,进化战记,82162,1258,39,8635,0.0,0,1
2220,日本第一男人之魂,120994,2192,46,7273,0.0,0,1
2221,弹珠警察,208818,3875,115,21663,0.0,0,1
2222,微星小超人,47446,552,18,2080,0.0,0,1
2223,火魅子传,46399,764,31,8050,0.0,0,1
2225,宇宙战舰山本洋子,9119,130,56,3820,0.0,0,1
2226,宇宙战舰山本洋子,20924,101,11,726,0.0,0,1
2236,神风怪盗贞德,541715,33734,343,54019,0.0,0,1
2238,麻辣教师GTO,1726614,110959,2247,53964,9.7,357,1
2241,如果在梦里遇见你,0,0,0,3874,0.0,0,1
2243,快杰蒸汽侦探团,9931,64,2,1372,0.0,0,1
2244,守护月天,91697,1496,81,11017,0.0,0,1
2245,波波罗古洛伊斯物语,13180,264,10,2155,0.0,0,1
2247,饿沙罗鬼,121929,1719,79,13983,0.0,0,1
2249,危险调查员,72922,4375,117,10839,0.0,0,1
2250,影技,45517,1064,29,5217,0.0,0,1
2251,玲音,273916,19160,735,58662,9.2,222,1
2252,女棒甲子园,16642,431,22,2634,0.0,0,1
2253,南海奇皇,50902,788,26,5427,0.0,0,1
2254,失落的宇宙,267712,21722,580,14808,0.0,0,1
2255,魔法阵都市,70298,975,33,4648,0.0,0,1
2257,青涩宝贝,50056,406,27,7793,0.0,0,1
2258,婆娑罗,90366,5272,72,15029,0.0,0,1
2260,梦幻拉拉,50954,1765,45,4753,0.0,0,1
2261,星际牛仔,324208,41995,1235,162261,9.8,2491,1
2265,万能文化猫娘 TV,23004,728,9,3852,0.0,0,1
2267,星方武侠,43839,907,39,4914,0.0,0,1
2268,魔术士奥芬,81761,4567,69,5697,0.0,0,1
2269,魔术士奥芬 -Revenge-,0,0,0,1761,0.0,0,1
2270,魔卡少女樱 香港之旅,64341,3197,3539,134961,9.5,395,1
2271,四驱兄弟（中文）,290306,12115,407,38798,0.0,0,1
2272,四驱兄弟WGP（中文）,263707,8731,243,13736,0.0,0,1
2275,EAT-MAN,157305,1561,41,22646,0.0,0,1
2277,少女革命,463994,59649,741,44358,9.7,216,1
2278,甜心战士F,60565,929,26,3866,0.0,0,1
2280,灵异猎人,41194,653,22,4737,0.0,0,1
2281,CLAMP学园侦探团,95656,4999,79,14471,0.0,0,1
2283,烈火之炎,295403,3779,69,25795,0.0,0,1
2284,NEXT战记EHRGEIZ,13716,56,1,1849,0.0,0,1
2285,大运动会,48092,3037,54,3783,0.0,0,1
2286,BURN-UP SCRAMBLE,50491,646,19,8492,0.0,0,1
2287,BURN-UP W,14634,165,6,1319,0.0,0,1
2290,樱花大战 TV版,72560,3123,43,24486,0.0,0,1
2291,樱花大战 OVA1 樱华绚烂,235577,18551,333,4622,0.0,0,1
2293,机动战舰大和抚子 TV版,300274,17934,383,13655,0.0,0,1
2294,奥运高手,44604,1405,24,1980,0.0,0,1
2296,佐罗的传说,71427,7686,103,5213,0.0,0,1
2297,钢铁神兵B'T-X,140471,5369,196,12473,0.0,0,1
2298,VS骑士弹珠汽水&40炎,19803,627,13,1386,0.0,0,1
2299,乌龙派出所,5085803,114870,3107,28768,9.7,302,1
2300,天空之艾斯嘉科尼,70626,4664,56,7169,0.0,0,1
2301,勇者指令,98936,1441,29,7455,0.0,0,1
2302,勇者指令 OVA,11252,120,7,931,0.0,0,1
2303,浪客剑心,2946882,186166,2994,167240,9.5,325,1
2304,YAT安心！宇宙旅行,22352,206,13,1480,0.0,0,1
2306,玩偶游戏,489724,46565,479,26560,0.0,0,1
2308,街头霸王2 V,109389,2832,32,5335,0.0,0,1
2310,街头霸王 剧场版,64660,1779,54,1983,0.0,0,1
2312,宇宙小毛球,59019,1303,35,2699,0.0,0,1
2314,爆走猎人,150083,2866,75,19653,0.0,0,1
2315,近所物语,230217,13077,165,25800,0.0,0,1
2316,H2 好逑双物语,81930,3154,95,6019,0.0,0,1
2318,黄金勇者,47905,377,24,2836,0.0,0,1
2319,鬼神童子ZENKI,308269,11006,383,24696,0.0,0,1
2321,怪盗圣少女,934251,97989,1275,78360,9.7,296,1
2323,爱天使传说,166863,6130,88,13769,0.0,0,1
2324,橘子酱男孩,352940,27319,165,31441,0.0,0,1
2325,魔法骑士,259012,12659,457,30677,0.0,0,1
2326,咕噜咕噜魔法阵,347328,16222,358,17745,0.0,0,1
2328,足球风云,90410,2571,43,4440,0.0,0,1
2331,勇者特急,57545,1659,21,3221,0.0,0,1
2332,无责任舰长,32381,0,52,2317,0.0,0,1
2333,九龙珠,921351,34865,663,31881,0.0,0,1
2334,叮当猫,43234,956,15,5321,0.0,0,1
2338,幽游白书,1920087,141985,1713,85967,9.7,222,1
2340,勇者传说,56198,1228,17,2336,0.0,0,1
2341,元气爆发伏魔金刚,30885,906,18,2037,0.0,0,1
2344,动画秘密花园,21192,451,15,9581,0.0,0,1
2346,青兰圆舞曲,78648,14158,109,9860,0.0,0,1
2347,横山光辉三国志,103853,4163,56,4279,0.0,0,1
2348,狡猾飞天德,100225,1492,59,8571,0.0,0,1
2349,天命神童,58963,1165,19,1599,0.0,0,1
2351,御宅族的錄影帶,28052,710,20,3469,0.0,0,1
2352,盖塔机器人,57873,3231,48,3710,0.0,0,1
2353,真盖塔 世界最后之日,170883,7088,263,4398,0.0,0,1
2358,蓝宝石之谜,809772,59833,1693,24438,0.0,0,1
2360,三眼神童 TV版,236735,23697,321,12168,0.0,0,1
2390,五星物语,92850,1894,97,9086,0.0,0,1
2391,猫怪麦克,38710,2273,49,4402,0.0,0,1
2392,天空战记,191027,13965,123,11653,0.0,0,1
2393,柔道少女,71363,1906,41,4762,0.0,0,1
2394,四驱小子,125246,310,58,7431,0.0,0,1
2397,光能使者,1076925,59450,883,47394,9.6,146,1
2398,魔神坛斗士,65315,354,100,16898,0.0,0,1
2401,森林好小子,125899,4854,102,6492,0.0,0,1
2410,妙手小厨师,110844,7691,48,15081,0.0,0,1
2414,机甲战记威龙,91832,4546,71,3319,0.0,0,1
2416,城市猎人 TV版,935917,71334,1154,30248,9.7,142,1
2418,橙路,106908,12978,136,10987,0.0,0,1
2421,苍之流星SPT雷兹纳,22816,466,14,2065,0.0,0,1
2422,忍者战士飞影,79525,690,22,4200,0.0,0,1
2423,搞怪拍档,5522,61,16,1906,0.0,0,1
2424,超兽机神断空我,44555,2169,32,3090,0.0,0,1
2425,棒球英豪 TV版,870557,103027,1175,24021,9.7,161,1
2426,棒球英豪 剧场版,66519,2749,58,4064,0.0,0,1
2429,超时空骑团,22734,296,17,2103,0.0,0,1
2430,小小外星人,26377,432,23,4064,0.0,0,1
2431,机甲界卡利安,15776,500,8,698,0.0,0,1
2432,机甲创世记,36402,712,15,1925,0.0,0,1
2433,圣战士丹拜因,68263,3101,68,3905,0.0,0,1
2434,银河疾风,9297,12,3,904,0.0,0,1
2435,超时空世纪ORGUSS,34602,1147,19,2039,0.0,0,1
2436,装甲骑兵VOTOMS,167764,13571,201,6878,0.0,0,1
2437,银河漂流VIFAM,17905,91,7,1267,0.0,0,1
2439,太阳之牙达格拉姆,24030,607,19,1640,0.0,0,1
2440,机甲舰队Dairugger XV,36953,219,7,1895,0.0,0,1
2441,银河烈风,9903,25,7,992,0.0,0,1
2442,心跳今夜,27101,658,51,12637,0.0,0,1
2443,重战机艾尔盖姆,67325,1578,35,4115,0.0,0,1
2444,六神合体雷霆王,69104,1466,33,4023,0.0,0,1
2447,尼尔斯骑鹅旅行记,52583,628,25,3488,0.0,0,1
2448,传说巨神伊迪安,49172,4734,66,3414,0.0,0,1
2449,铁臂阿童木 1980,179716,11520,145,13620,0.0,0,1
2450,铁臂阿童木 2003,385104,28251,551,14245,0.0,0,1
2451,宇宙战舰大和号,152844,7742,113,17171,0.0,0,1
2454,宇宙战舰大和号 2199,1178378,68141,1857,18175,9.6,131,1
2455,再见了宇宙战舰大和号 爱的战士们,33537,0,6,5273,0.0,0,1
2458,凡尔赛玫瑰,169176,18449,171,22732,0.0,0,1
2459,机动战士敢达MS,826105,52062,717,36199,9.7,255,1
2460,红发安妮,80785,696,21,13612,0.0,0,1
2461,宇宙魔神大剑豪,7453,74,6,483,0.0,0,1
2463,斗将戴莫斯 TV版,5652,388,3,1718,0.0,0,1
2464,未来少年柯南,237257,11391,149,12275,0.0,0,1
2465,超人战队BARATTACK,11285,45,5,464,0.0,0,1
2467,超电磁侠波鲁吉斯V,11788,0,8,965,0.0,0,1
2468,合身战队机器人MECHANDER,18701,29,6,657,0.0,0,1
