序号,名称,播放,弹幕数,收藏,硬币,评分(默认0分),评分人数(人数不足为0人),是否完结
3954,鲁邦三世：被偷的鲁邦~模仿者是盛夏之蝶~,36148,952,43,1743,0.0,0,1
3955,鲁邦三世 东方见闻录 ～Another Page～,71367,3307,56,3010,0.0,0,1
3956,鲁邦三世：微风公主 ~ 被隐藏的空中都市,88161,5154,230,4591,0.0,0,1
3957,勇者王GaoGaiGar Final,0,0,0,1666,0.0,0,1
3958,勇者王GaoGaiGar Final Grand Glorious Gathering,117809,4649,68,3144,0.0,0,1
3959,翼神传说 多元变奏曲,32632,945,51,2499,0.0,0,1
3960,翼神传说 间奏曲：她与她自己,16269,87,8,1696,0.0,0,1
3961,天界电台,33988,597,253,1674,0.0,0,1
3962,不公正抽签 OVA,28154,1822,13,1176,0.0,0,1
3963,相聚一刻番外篇 一刻岛飘流记,0,0,0,883,0.0,0,1
3964,人鱼之森 OVA,0,0,0,2833,0.0,0,1
3965,天空战记 创世前的暗斗,29727,554,15,1350,0.0,0,1
3966,零秒出手 第二季,0,0,0,1898,0.0,0,1
3967,魔法阵都市 剧场版 下篇,0,0,0,969,0.0,0,1
3968,老师的时间 gold,0,0,0,737,0.0,0,1
3969,小小雪精灵 夏季特别篇,0,0,0,1035,0.0,0,1
3972,舞-乙HiME,27549,1589,62,6397,0.0,0,1
3973,舞-乙HiME Zwei,12234,323,35,3101,0.0,0,1
3974,舞-乙HiME 0～S.ifr～,11592,286,39,3182,0.0,0,1
3975,仙乐传说 迪赛雅兰篇,0,0,0,1389,0.0,0,1
3976,仙乐传说 世界统合篇,0,0,0,1702,0.0,0,1
3977,威尔贝鲁物语～威尔贝鲁的姐妹～ 第二幕,0,0,0,2087,0.0,0,1
3978,和殿下一起,0,0,0,857,0.0,0,1
3979,田中君总是如此慵懒小剧场,6895705,7584,2699,190387,9.4,168,1
3980,拳王创世纪1 影道篇,8157,78,3,545,0.0,0,1
3982,机甲界卡利安 OVA,0,0,0,351,0.0,0,1
3984,水瓶新世纪II~双鱼宫的深渊~,23611,350,9,521,0.0,0,1
3985,神魂合体GODANNAR！！ 第二季,0,0,0,1411,0.0,0,1
3986,最终兵器彼女 Anotherlovesong,0,0,0,3709,0.0,0,1
3989,如果在梦里遇见你 OVA,35115,1586,40,578,0.0,0,1
3990,飞翔的魔女 小剧场,158000,461,128,39447,0.0,0,1
3991,大运动会 OVA,0,0,0,731,0.0,0,1
3993,银河英雄传说 新战争的序曲,0,0,0,3120,0.0,0,1
3996,无责任舰长 特别篇 孤独一人的战争,0,0,0,327,0.0,0,1
3997,无责任舰长OVA,0,0,0,463,0.0,0,1
4000,真魔神英雄传 魔神山篇,0,0,0,8139,0.0,0,1
4002,无口的森田小姐 OAD,31039,716,41,1987,0.0,0,1
4004,超时空世纪02,0,0,0,784,0.0,0,1
4005,圣战士登拜因 OVA,0,0,0,1085,0.0,0,1
4006,咕噜咕噜魔法阵 心跳传说,125567,5429,110,5108,0.0,0,1
4008,终结的炽天使 OVA,1297220,29336,839,95834,8.7,112,1
4009,天使特警 剧场版 觉醒篇,38721,309,33,2612,0.0,0,1
4010,天使特警 剧场版 泛滥篇,0,0,0,1720,0.0,0,1
4011,天使特警 剧场版 黎明篇,0,0,0,1959,0.0,0,1
4012,EAT-MAN'98,18396,399,15,2476,0.0,0,1
4013,机动警察 OVA1,22890,1479,42,2451,0.0,0,1
4014,机动警察 OVA2,27193,2433,27,1987,0.0,0,1
4015,机动警察 和平保卫战,41442,1692,99,5554,0.0,0,1
4016,机动警察 东京毁灭战,83869,1505,109,10032,0.0,0,1
4017,机动警察 十三号废弃物,19617,850,31,3043,0.0,0,1
4018,真救世主传说 北斗神拳 拉奥传 激斗之章,79413,2052,72,2371,0.0,0,1
4019,永远的大和号,23889,361,5,1255,0.0,0,1
